# idx	type	lexeme	line	column
1	KEYWORD	main	1	1
2	IDENTIFIER	sum	1	6
3	UNKNOWN	@	1	9
4	IDENTIFIER	r	1	10
5	REAL	3.14	1	12
6	ARITHMETIC_OPERATOR	+	1	16
7	KEYWORD	main	1	17
8	SYMBOL	)	1	21
9	KEYWORD	if	1	22
10	SYMBOL	{	1	24
11	UNKNOWN	32.algo	1	25
12	REAL	34.34	2	1
13	UNKNOWN	.	2	6
14	REAL	34.34	2	7
15	SYMBOL	{	3	1
16	KEYWORD	int	4	1
17	IDENTIFIER	x	4	5
18	SYMBOL	,	4	6
19	IDENTIFIER	y	4	7
20	SYMBOL	,	4	8
21	IDENTIFIER	z	4	9
22	SYMBOL	;	4	10
23	IDENTIFIER	real	5	1
24	IDENTIFIER	a	5	6
25	SYMBOL	,	5	7
26	IDENTIFIER	b	5	8
27	SYMBOL	,	5	9
28	IDENTIFIER	c	5	10
29	SYMBOL	;	5	11
30	IDENTIFIER	suma	6	2
31	ASSIGNMENT	=	6	6
32	INTEGER	45	6	7
33	SYMBOL	;	6	9
34	IDENTIFIER	x	7	1
35	ASSIGNMENT	=	7	2
36	REAL	32.32	7	3
37	SYMBOL	;	7	8
38	IDENTIFIER	x	8	1
39	ASSIGNMENT	=	8	2
40	INTEGER	23	8	3
41	SYMBOL	;	8	5
42	IDENTIFIER	y	9	1
43	ASSIGNMENT	=	9	2
44	INTEGER	2	9	3
45	ARITHMETIC_OPERATOR	+	9	4
46	INTEGER	3	9	5
47	ARITHMETIC_OPERATOR	-	9	6
48	INTEGER	1	9	7
49	SYMBOL	;	9	8
50	IDENTIFIER	z	10	1
51	ASSIGNMENT	=	10	2
52	IDENTIFIER	y	10	3
53	ARITHMETIC_OPERATOR	+	10	4
54	INTEGER	7	10	5
55	SYMBOL	;	10	6
56	IDENTIFIER	y	11	1
57	ASSIGNMENT	=	11	2
58	IDENTIFIER	y	11	3
59	ARITHMETIC_OPERATOR	+	11	4
60	INTEGER	1	11	5
61	SYMBOL	;	11	6
62	IDENTIFIER	a	12	1
63	ASSIGNMENT	=	12	2
64	REAL	24.0	12	3
65	ARITHMETIC_OPERATOR	+	12	7
66	INTEGER	4	12	8
67	ARITHMETIC_OPERATOR	-	12	9
68	INTEGER	1	12	10
69	ARITHMETIC_OPERATOR	/	12	11
70	INTEGER	3	12	12
71	ARITHMETIC_OPERATOR	*	12	13
72	INTEGER	2	12	14
73	ARITHMETIC_OPERATOR	+	12	15
74	INTEGER	34	12	16
75	ARITHMETIC_OPERATOR	-	12	18
76	INTEGER	1	12	19
77	SYMBOL	;	12	20
78	IDENTIFIER	x	13	1
79	ASSIGNMENT	=	13	2
80	SYMBOL	(	13	3
81	INTEGER	5	13	4
82	ARITHMETIC_OPERATOR	-	13	5
83	INTEGER	3	13	6
84	SYMBOL	)	13	7
85	ARITHMETIC_OPERATOR	*	13	8
86	SYMBOL	(	13	9
87	INTEGER	8	13	10
88	ARITHMETIC_OPERATOR	/	13	11
89	INTEGER	2	13	12
90	SYMBOL	)	13	13
91	SYMBOL	;	13	14
92	IDENTIFIER	y	14	1
93	ASSIGNMENT	=	14	2
94	INTEGER	5	14	3
95	ARITHMETIC_OPERATOR	+	14	4
96	INTEGER	3	14	5
97	ARITHMETIC_OPERATOR	-	14	6
98	INTEGER	2	14	7
99	ARITHMETIC_OPERATOR	*	14	8
100	INTEGER	4	14	9
101	ARITHMETIC_OPERATOR	/	14	10
102	INTEGER	7	14	11
103	ARITHMETIC_OPERATOR	-	14	12
104	INTEGER	9	14	13
105	SYMBOL	;	14	14
106	IDENTIFIER	z	15	1
107	ASSIGNMENT	=	15	2
108	INTEGER	8	15	3
109	ARITHMETIC_OPERATOR	/	15	4
110	INTEGER	2	15	5
111	ARITHMETIC_OPERATOR	+	15	6
112	INTEGER	15	15	7
113	ARITHMETIC_OPERATOR	*	15	9
114	INTEGER	4	15	10
115	SYMBOL	;	15	11
116	IDENTIFIER	y	16	1
117	ASSIGNMENT	=	16	2
118	REAL	14.54	16	3
119	SYMBOL	;	16	8
120	KEYWORD	if	17	1
121	SYMBOL	(	17	3
122	INTEGER	2	17	4
123	RELATIONAL_OPERATOR	>	17	5
124	INTEGER	3	17	6
125	SYMBOL	)	17	7
126	IDENTIFIER	then	17	8
127	IDENTIFIER	y	18	9
128	ASSIGNMENT	=	18	10
129	IDENTIFIER	a	18	11
130	ARITHMETIC_OPERATOR	+	18	12
131	INTEGER	3	18	13
